image_path,disease_name,disease_folder,status,phase1_status,phase1_raw,phase2_status,phase2_raw,error_log
Acanthoma fissuratum/acanthoma-fissuratum-01.jpg,Acanthoma fissuratum,Acanthoma fissuratum,PENDING,,,,,
Acanthoma fissuratum/acanthoma-fissuratum-02.jpg,Acanthoma fissuratum,Acanthoma fissuratum,PENDING,,,,,
Acanthosis palmaris/acanthosis.jpg,Acanthosis palmaris,Acanthosis palmaris,PENDING,,,,,
Acanthosis palmaris/tripe-palms.jpg,Acanthosis palmaris,Acanthosis palmaris,PENDING,,,,,
Acne vulgaris/141.jpg,Acne vulgaris,Acne vulgaris,PENDING,,,,,
Acne vulgaris/142.jpg,Acne vulgaris,Acne vulgaris,PENDING,,,,,
Acne vulgaris/143.jpg,Acne vulgaris,Acne vulgaris,PENDING,,,,,
Acne vulgaris/144.jpg,Acne vulgaris,Acne vulgaris,PENDING,,,,,
Acne vulgaris/146.jpg,Acne vulgaris,Acne vulgaris,PENDING,,,,,
Acne vulgaris/148.jpg,Acne vulgaris,Acne vulgaris,PENDING,,,,,
Acne vulgaris/149.jpg,Acne vulgaris,Acne vulgaris,PENDING,,,,,
Acne vulgaris/150.jpg,Acne vulgaris,Acne vulgaris,PENDING,,,,,
Acne vulgaris/151.jpg,Acne vulgaris,Acne vulgaris,PENDING,,,,,
Acne vulgaris/152.jpg,Acne vulgaris,Acne vulgaris,PENDING,,,,,
Acne vulgaris/154.jpg,Acne vulgaris,Acne vulgaris,PENDING,,,,,
Acne vulgaris/157.jpg,Acne vulgaris,Acne vulgaris,PENDING,,,,,
Acne vulgaris/159.jpg,Acne vulgaris,Acne vulgaris,PENDING,,,,,
Acne vulgaris/160.jpg,Acne vulgaris,Acne vulgaris,PENDING,,,,,
Acne vulgaris/161.jpg,Acne vulgaris,Acne vulgaris,PENDING,,,,,
Acne vulgaris/165.jpg,Acne vulgaris,Acne vulgaris,PENDING,,,,,
Acne vulgaris/166.jpg,Acne vulgaris,Acne vulgaris,PENDING,,,,,
Acne vulgaris/167.jpg,Acne vulgaris,Acne vulgaris,PENDING,,,,,
Acne vulgaris/169.jpg,Acne vulgaris,Acne vulgaris,PENDING,,,,,
Acne vulgaris/171.jpg,Acne vulgaris,Acne vulgaris,PENDING,,,,,
